==================================================
LRI: 0.129032	u “mm: mm“:
BIC: 0.857142	‘I‘l ANTOINE GRIEZMANN
GEN: 1.0	11 ANTOINE GRIEZMANN
HRI: 1.0	11 ANTOINE GRIEZMANN

LRI: 0.363636	20 m: as."
BIC: 1.0	20 LOIC REMY
GEN: 1.0	20 LOIC REMY
HRI: 1.0	20 LOIC REMY

LRI: 0.5	Eesqycan
BIC: 0.941176	Besa_ncon
GEN: 0.75	Besqpcon
HRI: 0.75	Besqpcon

LRI: 0.0	
BIC: 0.7	UND OLIICM
GEN: 1.0	UND GLEICH
HRI: 1.0	UND GLEICH

LRI: 0.183486	wares mmmmaammmusmmmmmwmu
BIC: 0.745098	'Aorés utilisation du shampoaing .& dam-M Wes visiblesusage régulier.
GEN: 0.916666	'Aprés utilisation du shampooing fag & densité, pellicules visibles, usage régulier.
HRI: 0.898203	'Aprés utilisation du shampooing @ & densité. pelli‘cules visibles, usage régulier.

LRI: 0.740740	Assurantes - Ezmlue ~ Santé
BIC: 0.888888	Assurances . Banque . Santé
GEN: 0.925925	Assurances - Banque . Santé
HRI: 0.925925	Assurances . Banque - Santé

LRI: 0.0	
BIC: 1.0	50
GEN: 1.0	50
HRI: 1.0	50

LRI: 0.0	
BIC: 0.0	mmcumsr
GEN: 0.909090	RECIT ; T. CURTET
HRI: 0.9375	RECIT: T. CURTET

LRI: 0.0	
BIC: 0.0	nonmemmme
GEN: 0.971428	MONTAGE: C. FORGE
HRI: 1.0	MONTAGE : C. FORGE

LRI: 0.848484	vevandarideauxom
BIC: 1.0	verandarideau.com
GEN: 0.606060	peraudalie auto.
HRI: 1.0	verandarideau.com

LRI: 0.888888	& densité
BIC: 0.888888	& densité
GEN: 0.888888	& densité
HRI: 0.888888	& densité

LRI: 1.0	Lorraine
BIC: 0.842105	* jLorraine
GEN: 0.736842	T~%Lbrraine
HRI: 0.736842	7:?Lbrraine

LRI: 0.285714	i 21 0min Acmusu
BIC: 0.648648	i 21 mama ACHILIER
GEN: 0.926829	l' 21 GABRIEL ACHILIER
HRI: 0.926829	.\ 21 GABRIEL ACHILIER

LRI: 0.0	
BIC: 1.0	DER LOULOU
GEN: 1.0	DER LOULOU
HRI: 1.0	DER LOULOU

LRI: 0.923076	’Alsace
BIC: 0.923076	’Alsace
GEN: 1.0	Alsace
HRI: 0.923076	“Alsace

LRI: 0.137931	Wulunwdhddv-w-an
BIC: 0.21875	'ﬁixamwpdboddqw'uwpohh
GEN: 0.837209	'Prix d‘un appcl local dcpui: un posit: Fixe
HRI: 0.930232	'Prix cl'un appel local depuis un poste Fixe

LRI: 0.0	an}.
BIC: 0.285714	0:.
6
GEN: 0.0	
HRI: 0.666666	60"5

LRI: 0.0	
BIC: 0.857142	DEMAIN 1
GEN: 0.0	
HRI: 0.857142	DEMAIN 1

LRI: 0.363636	Alsnn
BIC: 0.833333	naison
GEN: 1.0	maison
HRI: 1.0	maison

LRI: 0.884615	LE PROGRES Vous APPARTIENT
BIC: 1.0	LE PROGRES VOUS APPARTIENT
GEN: 1.0	LE PROGRES VOUS APPARTIENT
HRI: 0.981132	LE PROGRE'S VOUS APPARTIENT

LRI: 0.0	
BIC: 0.848484	I D. EASIER. P. DUMAIL. N. TITONEL
GEN: 0.878787	I D. BASIER. P. DUMAIL. N. TITONEL
HRI: 0.895522	I D. BASIEFI, P. DUMAIL, N. TITONEL

LRI: 0.4	Jﬂlqu'au 2m" Rama luv \aTErIlamrL
BIC: 0.658823	Jusqu’au2w8f2014.ﬂanisesurla2étmtacmre
GEN: 0.947368	Jusqu’au 24/08/2014. Remise sur la 2éme facture.
HRI: 0.947368	Jusqu’au 24/08/2014. Remise sur la 2éme facture.

LRI: 0.0	
BIC: 0.521739	ma FROGRAH‘
GEN: 0.96	IHR PROGRAMMJ
HRI: 1.0	IHR PROGRAMM

LRI: 0.0	
BIC: 1.0	XAVIER ROPARTZ
GEN: 1.0	XAVIER ROPARTZ
HRI: 1.0	XAVIER ROPARTZ

LRI: 0.0	
BIC: 1.0	DIE TAXIFAHRERIN
GEN: 1.0	DIE TAXIFAHRERIN
HRI: 1.0	DIE TAXIFAHRERIN

LRI: 0.0	
BIC: 0.816326	NLCHSYE NACHRICHTIN ".10
GEN: 1.0	NACHSTE NACHRICHTEN 19.10
HRI: 1.0	NACHSTE NACHRICHTEN 19.10

LRI: 0.0	
BIC: 0.870967	LA GAGNAN'I’E DES 100.000€ EST =
GEN: 0.918032	LA GAGNANTE DES 100.000€_ EST =
HRI: 0.933333	LA GAGNANTE DES 100.000€ EST =

LRI: 0.0	
BIC: 1.0	ELISE LUCET
GEN: 1.0	ELISE LUCET
HRI: 1.0	ELISE LUCET

LRI: 0.145833	mm“ ILMmangugnnummmm m
BIC: 0.602941	Pout who unlb. Mlloz do grlgnotor onm Ies repas. mmngubougonfr
GEN: 0.780821	Pour vallelsanlé. évllez de grignoler entre Ies repas. www.mangamougerjr
HRI: 0.945945	Pour votre santé. évltez de grignoter entre les repas. www.mangerbouger.fr

LRI: 0.0	
BIC: 0.0	
GEN: 0.344827	ﬁlm-J.- diierv.
HRI: 0.0	mm

LRI: 0.0	
BIC: 1.0	ANGRIFFE AUF GAZASTREIFEN
GEN: 1.0	ANGRIFFE AUF GAZASTREIFEN
HRI: 1.0	ANGRIFFE AUF GAZASTREIFEN

LRI: 0.0	
BIC: 1.0	AUSTRALIE
GEN: 1.0	AUSTRALIE
HRI: 1.0	AUSTRALIE

LRI: 0.0	“mm
BIC: 0.75	IIIMMY‘SHALL
GEN: 0.846153	E IIMMY'S HALL
HRI: 0.846153	| IIMMY'S HALL

LRI: 0.24	m “noun-LE
BIC: 0.933333	NON RESPONSIBLE
GEN: 1.0	NON RESPONSABLE
HRI: 1.0	NON RESPONSABLE

LRI: 0.0	
BIC: 0.111111	umm
GEN: 1.0	Anthony Meunier
HRI: 0.866666	Anthony Mounler

LRI: 0.0	
BIC: 0.857142	JOURNAI
GEN: 1.0	JOURNAL
HRI: 0.857142	JOURNAE

LRI: 0.08	WW «my,
BIC: 0.0	
GEN: 0.484848	Tariﬁindpcam we ch: « '
HRI: 0.682926	Tarif indil} paw Una Chambre en CTEé U1

LRI: 0.133333	my“: n
BIC: 0.823529	elyseexr
GEN: 1.0	elysee.fr
HRI: 1.0	elysee.fr

LRI: 0.0	
BIC: 0.666666	tSt-CG Ie Christ.
GEN: 0.848484	Est-0e Ie Christ.
HRI: 0.909090	Est-ce Ie Christ.

LRI: 0.0	
BIC: 0.0	
